order id,order url,order date,quantity,description,item url,price,subscribe & save,ASIN
112-4681632-5763310,https://www.amazon.com/your-orders/order-details?orderID=112-4681632-5763310,2025-12-13,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-0248872-5985200,https://www.amazon.com/your-orders/order-details?orderID=112-0248872-5985200,2025-11-10,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-9636624-1809268,https://www.amazon.com/your-orders/order-details?orderID=112-9636624-1809268,2025-11-06,1,"Dove Men+Care Body Wash, Extra Fresh, 18 oz, 4 Pack",https://www.amazon.com/dp/B0SYN00301,$22.96,0,B0SYN00301
112-9636624-1809268,https://www.amazon.com/your-orders/order-details?orderID=112-9636624-1809268,2025-11-06,1,Lodge 6 Quart Enameled Dutch Oven,https://www.amazon.com/dp/B0SYN00607,$79.90,0,B0SYN00607
112-9636624-1809268,https://www.amazon.com/your-orders/order-details?orderID=112-9636624-1809268,2025-11-06,1,"Gillette Fusion5 Men's Razor Blade Refills, 8 Count",https://www.amazon.com/dp/B0SYN00305,$25.99,0,B0SYN00305
112-4883178-0872703,https://www.amazon.com/your-orders/order-details?orderID=112-4883178-0872703,2025-11-04,1,Seagate Portable 2TB External Hard Drive,https://www.amazon.com/dp/B0SYN00706,$64.99,0,B0SYN00706
112-5876309-1924344,https://www.amazon.com/your-orders/order-details?orderID=112-5876309-1924344,2025-10-29,1,Seagate Portable 2TB External Hard Drive,https://www.amazon.com/dp/B0SYN00706,$64.99,0,B0SYN00706
112-5876309-1924344,https://www.amazon.com/your-orders/order-details?orderID=112-5876309-1924344,2025-10-29,1,"Nature Valley Crunchy Granola Bars, Oats 'n Honey, 24 Count",https://www.amazon.com/dp/B0SYN00503,$11.98,0,B0SYN00503
112-2969173-3435308,https://www.amazon.com/your-orders/order-details?orderID=112-2969173-3435308,2025-10-24,1,"Scotch-Brite Non-Scratch Scrub Sponges, 9 Count",https://www.amazon.com/dp/B0SYN00206,$8.49,0,B0SYN00206
112-2969173-3435308,https://www.amazon.com/your-orders/order-details?orderID=112-2969173-3435308,2025-10-24,1,"Post-it Sticky Notes, 3x3, 12 Pads",https://www.amazon.com/dp/B0SYN01003,$12.49,0,B0SYN01003
112-1246798-6425155,https://www.amazon.com/your-orders/order-details?orderID=112-1246798-6425155,2025-10-14,1,"Bounty Quick-Size Paper Towels, 8 Family Rolls",https://www.amazon.com/dp/B0SYN00202,$24.99,0,B0SYN00202
112-9287301-9975915,https://www.amazon.com/your-orders/order-details?orderID=112-9287301-9975915,2025-10-12,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-8940679-9798937,https://www.amazon.com/your-orders/order-details?orderID=112-8940679-9798937,2025-09-25,1,Paperback: A History of the Great Lakes,https://www.amazon.com/dp/B0SYN00901,$18.49,0,B0SYN00901
112-2495815-0623579,https://www.amazon.com/your-orders/order-details?orderID=112-2495815-0623579,2025-09-20,1,"Fruit of the Loom Boxer Briefs, 6 Pack",https://www.amazon.com/dp/B0SYN00802,$22.98,0,B0SYN00802
112-2495815-0623579,https://www.amazon.com/your-orders/order-details?orderID=112-2495815-0623579,2025-09-20,1,"Charmin Ultra Soft Toilet Paper, 18 Mega Rolls",https://www.amazon.com/dp/B0SYN00207,$26.49,0,B0SYN00207
112-3906932-7542583,https://www.amazon.com/your-orders/order-details?orderID=112-3906932-7542583,2025-09-11,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-1592203-9596366,https://www.amazon.com/your-orders/order-details?orderID=112-1592203-9596366,2025-08-13,1,YETI Rambler 20 oz Tumbler,https://www.amazon.com/dp/B0SYN00608,$35.00,0,B0SYN00608
112-2543984-6658872,https://www.amazon.com/your-orders/order-details?orderID=112-2543984-6658872,2025-08-12,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-8516197-3963199,https://www.amazon.com/your-orders/order-details?orderID=112-8516197-3963199,2025-07-26,1,"Band-Aid Brand First Aid Kit, 140 Pieces",https://www.amazon.com/dp/B0SYN00404,$13.97,0,B0SYN00404
112-2341691-8764403,https://www.amazon.com/your-orders/order-details?orderID=112-2341691-8764403,2025-07-17,1,"Head & Shoulders Shampoo and Conditioner Set, 2 Pack",https://www.amazon.com/dp/B0SYN00302,$17.44,0,B0SYN00302
112-6981639-1332475,https://www.amazon.com/your-orders/order-details?orderID=112-6981639-1332475,2025-07-13,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-7890139-6697021,https://www.amazon.com/your-orders/order-details?orderID=112-7890139-6697021,2025-06-11,1,"Zyrtec 24 Hour Allergy Relief Tablets, 90 Count",https://www.amazon.com/dp/B0SYN00403,$32.99,0,B0SYN00403
112-7890139-6697021,https://www.amazon.com/your-orders/order-details?orderID=112-7890139-6697021,2025-06-11,1,"Bounty Quick-Size Paper Towels, 8 Family Rolls",https://www.amazon.com/dp/B0SYN00202,$24.99,0,B0SYN00202
112-2125914-0622540,https://www.amazon.com/your-orders/order-details?orderID=112-2125914-0622540,2025-06-09,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-2837761-2770946,https://www.amazon.com/your-orders/order-details?orderID=112-2837761-2770946,2025-06-03,1,"Neutrogena Ultra Sheer Sunscreen SPF 55, 3 oz",https://www.amazon.com/dp/B0SYN00405,$9.97,0,B0SYN00405
112-4399459-6718540,https://www.amazon.com/your-orders/order-details?orderID=112-4399459-6718540,2025-05-30,1,"Rubbermaid Brilliance Food Storage Container Set, 10 Piece",https://www.amazon.com/dp/B0SYN00603,$39.99,0,B0SYN00603
112-4399459-6718540,https://www.amazon.com/your-orders/order-details?orderID=112-4399459-6718540,2025-05-30,1,ASICS Gel-Contend 8 Running Shoes,https://www.amazon.com/dp/B0SYN00805,$64.95,0,B0SYN00805
112-4417781-1663649,https://www.amazon.com/your-orders/order-details?orderID=112-4417781-1663649,2025-05-14,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-2354449-4310647,https://www.amazon.com/your-orders/order-details?orderID=112-2354449-4310647,2025-05-14,1,Sony WH-CH520 Wireless Headphones,https://www.amazon.com/dp/B0SYN00703,$49.99,0,B0SYN00703
112-2354449-4310647,https://www.amazon.com/your-orders/order-details?orderID=112-2354449-4310647,2025-05-14,1,YETI Rambler 20 oz Tumbler,https://www.amazon.com/dp/B0SYN00608,$35.00,0,B0SYN00608
112-5097371-6340886,https://www.amazon.com/your-orders/order-details?orderID=112-5097371-6340886,2025-05-11,1,"Nature Valley Crunchy Granola Bars, Oats 'n Honey, 24 Count",https://www.amazon.com/dp/B0SYN00503,$11.98,0,B0SYN00503
112-5097371-6340886,https://www.amazon.com/your-orders/order-details?orderID=112-5097371-6340886,2025-05-11,1,ASICS Gel-Contend 8 Running Shoes,https://www.amazon.com/dp/B0SYN00805,$64.95,0,B0SYN00805
112-5097371-6340886,https://www.amazon.com/your-orders/order-details?orderID=112-5097371-6340886,2025-05-11,1,"Oral-B Glide Pro-Health Dental Floss, 6 Pack",https://www.amazon.com/dp/B0SYN00306,$14.49,0,B0SYN00306
112-8176340-6698447,https://www.amazon.com/your-orders/order-details?orderID=112-8176340-6698447,2025-04-25,1,"Sensodyne Pronamel Toothpaste, 3 Pack",https://www.amazon.com/dp/B0SYN00401,$15.99,0,B0SYN00401
112-8176340-6698447,https://www.amazon.com/your-orders/order-details?orderID=112-8176340-6698447,2025-04-25,1,YETI Rambler 20 oz Tumbler,https://www.amazon.com/dp/B0SYN00608,$35.00,0,B0SYN00608
112-9967673-0566000,https://www.amazon.com/your-orders/order-details?orderID=112-9967673-0566000,2025-04-10,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-7695193-2855675,https://www.amazon.com/your-orders/order-details?orderID=112-7695193-2855675,2025-03-26,1,Carhartt Men's Knit Cuffed Beanie,https://www.amazon.com/dp/B0SYN00803,$19.99,0,B0SYN00803
112-1200819-1283111,https://www.amazon.com/your-orders/order-details?orderID=112-1200819-1283111,2025-03-10,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-7018695-3915695,https://www.amazon.com/your-orders/order-details?orderID=112-7018695-3915695,2025-02-22,1,"Charmin Ultra Soft Toilet Paper, 18 Mega Rolls",https://www.amazon.com/dp/B0SYN00207,$26.49,0,B0SYN00207
112-4511304-3496471,https://www.amazon.com/your-orders/order-details?orderID=112-4511304-3496471,2025-02-14,1,Hardcover: Data Pipelines Explained,https://www.amazon.com/dp/B0SYN00903,$34.99,0,B0SYN00903
112-9717918-5196243,https://www.amazon.com/your-orders/order-details?orderID=112-9717918-5196243,2025-02-13,1,"Dawn Ultra Dish Soap, 3 Pack",https://www.amazon.com/dp/B0SYN00203,$11.49,0,B0SYN00203
112-2965290-4140353,https://www.amazon.com/your-orders/order-details?orderID=112-2965290-4140353,2025-02-09,1,"Red Bull Energy Drink, 8.4 Fl Oz (24 Pack)",https://www.amazon.com/dp/B0SYN00101,$42.00,1,B0SYN00101
112-2346659-6216345,https://www.amazon.com/your-orders/order-details?orderID=112-2346659-6216345,2025-01-22,2,"Dawn Ultra Dish Soap, 3 Pack",https://www.amazon.com/dp/B0SYN00203,$11.49,0,B0SYN00203
112-2346659-6216345,https://www.amazon.com/your-orders/order-details?orderID=112-2346659-6216345,2025-01-22,1,"Tide PODS Laundry Detergent Soap Pods, Spring Meadow, 81 Count",https://www.amazon.com/dp/B0SYN00201,$21.97,0,B0SYN00201
